recipe_name,ingredient,ingredient_amount,ingredient_unit
Chocolate Chip Cookies,butter,2,lb
Chocolate Chip Cookies,sugar,35,oz
Chocolate Chip Cookies,molasses,1.42,oz
Chocolate Chip Cookies,vanilla extract,0.5,oz
Chocolate Chip Cookies,egg,8,each
Chocolate Chip Cookies,all-purpose flour,2.5,lb
Chocolate Chip Cookies,baking soda,0.9,oz
Chocolate Chip Cookies,salt,0.75,oz
Chocolate Chip Cookies,chocolate chips,36,oz
Chocolate Chip Cookies,walnuts,8,oz
Macaroons,butter,1.5,lb
Macaroons,sugar,2,lb
Macaroons,egg,12,each
Macaroons,coconut flakes,2.25,oz
