recipe_name,ingredient,ingredient_amount,ingredient_unit
Chicken Teriyaki,chicken,2,lb
Chicken Teriyaki,vegetable oil,0.438,oz
Chicken Teriyaki,cornstarch,0.125,oz
Chicken Teriyaki,teriyaki sauce,0.5,cup
Chicken Teriyaki Onigiri,sushi rice,10.4,oz
Chicken Teriyaki Onigiri,nori,4,sheet
Chicken Teriyaki Onigiri,chicken,0.5,lb
Chicken Teriyaki Onigiri,vegetable oil,0.1095,oz
Chicken Teriyaki Onigiri,cornstarch,0.031,oz
Chicken Teriyaki Onigiri,teriyaki sauce,0.125,cup
Tamagoyaki,dashi,0.375,cup
Tamagoyaki,soy sauce,1,tsp
Tamagoyaki,sugar,0.5,oz
Tamagoyaki,egg,4,none
