recipe_name,ingredient,ingredient_amount,ingredient_unit
Apple Pie,all-purpose flour,15,oz
Apple Pie,sugar,0.875,oz
Apple Pie,salt,0.2,oz
Apple Pie,unsalted butter,0.5,lb
Apple Pie,apple,24,oz
Apple Pie,brown sugar,3.75,oz
Apple Pie,cornstarch,0.35,oz
Apple Pie,ground cinnamon,0.1,oz
Pumpkin Scones,pumpkin,10.58,oz
Pumpkin Scones,all-purpose flour,4.94,oz
Pumpkin Scones,baking soda,0.106,oz
Pumpkin Scones,salt,0.1,oz
Pumpkin Scones,butter,2.5,oz
Pumpkin Scones,egg,1,each
Pumpkin Scones,milk,3.17,oz
Pumpkin Scones,thyme,0.1,oz
Pumpkin Scones,vegetable oil,0.025,oz
