recipe_name,ingredient,ingredient_amount,ingredient_unit
Cinnamon Raisin Bread,bread flour,16,oz
Cinnamon Raisin Bread,sugar,0.66,oz
Cinnamon Raisin Bread,salt,0.31,oz
Cinnamon Raisin Bread,instant yeast,0.22,oz
Cinnamon Raisin Bread,ground cinnamon,0.16,oz
Cinnamon Raisin Bread,egg,1,each
Cinnamon Raisin Bread,butter,1,oz
Cinnamon Raisin Bread,milk,4,oz
Cinnamon Raisin Bread,raisins,9,oz
Cinnamon Raisin Bread,walnuts,4,oz
Pizza Dough,bread flour,20.25,oz
Pizza Dough,salt,0.44,oz
Pizza Dough,instant yeast,0.11,oz
Pizza Dough,olive oil,2,oz
French Bread,bread flour,27,oz
French Bread,salt,0.56,oz
French Bread,instant yeast,0.19,oz
